reference,type,merged,len,text,note
창세기 8:22,위안,,56,"땅이 있을 동안에는 심음과, 거둠과, 추위와, 더위와, 여름과, 겨울과, 낮과, 밤이 쉬지 아니하리라",'심음과 거둠과 추위와 더위와… 쉬지 아니하리라'
창세기 28:15,위안,,91,내가 너와 함께 있어 네가 어디로 가든지 너를 지키며 너를 이끌어 이 땅으로 돌아오게 할지라 내가 네게 허락한 것을 다 이루기까지 너를 떠나지 아니하리라! 하신지라,'네가 어디로 가든지 너를 지키며'
창세기 49:18,위안,,22,여호와여! 나는 주의 구원을 기다리나이다,'나는 주의 구원을 기다리나이다'
신명기 15:11,교훈,,86,땅에는 언제든지 가난한 자가 그치지 아니하겠는고로 내가 네게 명하여 이르노니 너는 반드시 네 경내 네 형제의 곤란한 자와 궁핍한 자에게 네 손을 펼지니라!,'땅에는 언제든지 가난한 자가 그치지 아니하겠는고로'
신명기 16:19,교훈,,73,너는 굽게 판단하지 말며 사람을 외모로 보지 말며 또 뇌물을 받지 말라 뇌물은 지혜자의 눈을 어둡게 하고 의인의 말을 굽게 하느니라,'뇌물은 지혜자의 눈을 어둡게 하고'
신명기 29:29,교훈,,84,오묘한 일은 우리 하나님 여호와께 속하였거니와 나타난 일은 영구히 우리와 우리 자손에게 속하였나니 이는 우리로 이 율법의 모든 말씀을 행하게 하심이니라,'오묘한 일은 우리 하나님 여호와께 속하였거니와'
신명기 30:14,교훈,,55,오직! 그 말씀이 네게 심히 가까와서 네 입에 있으며 네 마음에 있은즉 네가 이를 행할 수 있느니라,'그 말씀이 네게 심히 가까와서'
신명기 31:8,위안,,68,여호와 그가 네 앞서 행하시며 너와 함께 하사 너를 떠나지 아니하시며 버리지 아니하시리니 너는 두려워 말라! 놀라지 말라!,'너를 떠나지 아니하시며 버리지 아니하시리니'
